V4_0,calendar-years,time,admin-geography,geography,mid-year-pop-age,age,mid-year-pop-sex,sex
850,2017,2017,E06000003,Redcar and Cleveland,11,11,1,Male
709,2017,2017,E06000003,Redcar and Cleveland,73,73,1,Male
1084,2017,2017,E06000002,Middlesbrough,21,21,2,Female
796,2017,2017,E06000003,Redcar and Cleveland,11,11,2,Female
652,2017,2017,E06000002,Middlesbrough,40,40,1,Male
805,2017,2017,E06000003,Redcar and Cleveland,26,26,1,Male
1727,2017,2017,E06000003,Redcar and Cleveland,25,25,0,All
2055,2017,2017,E06000003,Redcar and Cleveland,55,55,0,All
871,2017,2017,E06000003,Redcar and Cleveland,81,81,0,All
584,2017,2017,E06000002,Middlesbrough,71,71,2,Female
707,2017,2017,E06000002,Middlesbrough,14,14,2,Female
1912,2017,2017,E06000003,Redcar and Cleveland,48,48,0,All
391,2017,2017,E06000003,Redcar and Cleveland,81,81,1,Male
958,2017,2017,E06000003,Redcar and Cleveland,68,68,2,Female
982,2017,2017,E06000002,Middlesbrough,52,52,2,Female
1540,2017,2017,E06000002,Middlesbrough,62,62,0,All
1601,2017,2017,E06000002,Middlesbrough,48,48,0,All
997,2017,2017,E06000003,Redcar and Cleveland,49,49,2,Female
2550,2017,2017,E06000004,Stockton-on-Tees,8,8,0,All
729,2017,2017,E06000003,Redcar and Cleveland,15,15,1,Male
691,2017,2017,E06000003,Redcar and Cleveland,83,83,0,All
749,2017,2017,E06000002,Middlesbrough,42,42,2,Female
651,2017,2017,E06000003,Redcar and Cleveland,77,77,2,Female
327,2017,2017,E06000002,Middlesbrough,80,80,1,Male
1086,2017,2017,E06000003,Redcar and Cleveland,51,51,2,Female
1347,2017,2017,E06000003,Redcar and Cleveland,39,39,0,All
679,2017,2017,E06000003,Redcar and Cleveland,12,12,2,Female
825,2017,2017,E06000003,Redcar and Cleveland,23,23,1,Male
1603,2017,2017,E06000003,Redcar and Cleveland,24,24,0,All
787,2017,2017,E06000003,Redcar and Cleveland,10,10,1,Male
862,2017,2017,E06000003,Redcar and Cleveland,60,60,1,Male
