V4_0,calendar-years,time,admin-geography,geography,mid-year-pop-age,age,mid-year-pop-sex,sex
782,2017,2017,E06000003,Redcar and Cleveland,24,24,2,Female
652,2017,2017,E06000003,Redcar and Cleveland,40,40,2,Female
2532,2017,2017,E06000004,Stockton-on-Tees,58,58,0,All
1188,2017,2017,E06000004,Stockton-on-Tees,17,17,1,Male
1257,2017,2017,E06000004,Stockton-on-Tees,59,59,1,Male
1096,2017,2017,E06000004,Stockton-on-Tees,3,3,2,Female
705,2017,2017,E06000003,Redcar and Cleveland,14,14,1,Male
940,2017,2017,E06000003,Redcar and Cleveland,52,52,1,Male
777,2017,2017,E06000003,Redcar and Cleveland,67,67,1,Male
2706,2017,2017,E06000004,Stockton-on-Tees,31,31,0,All
2672,2017,2017,E06000004,Stockton-on-Tees,48,48,0,All
437,2017,2017,E06000004,Stockton-on-Tees,86,86,2,Female
1016,2017,2017,E06000001,Hartlepool,0,0,0,All
1074,2017,2017,E06000001,Hartlepool,12,12,0,All
128,2017,2017,E06000001,Hartlepool,89,89,2,Female
800,2017,2017,E06000002,Middlesbrough,13,13,1,Male
722,2017,2017,E06000002,Middlesbrough,38,38,1,Male
706,2017,2017,E06000002,Middlesbrough,62,62,1,Male
1099,2017,2017,E06000001,Hartlepool,69,69,0,All
989,2017,2017,E06000001,Hartlepool,41,41,0,All
912,2017,2017,E06000001,Hartlepool,39,39,0,All
633,2017,2017,E06000001,Hartlepool,80,80,0,All
1273,2017,2017,E06000001,Hartlepool,49,49,0,All
1410,2017,2017,E06000001,Hartlepool,51,51,0,All
1205,2017,2017,E06000001,Hartlepool,60,60,0,All
531,2017,2017,E06000001,Hartlepool,81,81,0,All
548,2017,2017,E06000001,Hartlepool,18,18,1,Male
582,2017,2017,E06000001,Hartlepool,23,23,1,Male
1185,2017,2017,E06000001,Hartlepool,5,5,0,All
1171,2017,2017,E06000001,Hartlepool,10,10,0,All
815,2017,2017,E06000002,Middlesbrough,44,44,2,Female
917,2017,2017,E06000002,Middlesbrough,58,58,2,Female
1719,2017,2017,E06000003,Redcar and Cleveland,63,63,0,All
503,2017,2017,E06000003,Redcar and Cleveland,79,79,1,Male
897,2017,2017,E06000003,Redcar and Cleveland,63,63,2,Female
2671,2017,2017,E06000004,Stockton-on-Tees,6,6,0,All
2354,2017,2017,E06000004,Stockton-on-Tees,38,38,0,All
2709,2017,2017,E06000004,Stockton-on-Tees,46,46,0,All
2645,2017,2017,E06000004,Stockton-on-Tees,57,57,0,All
1274,2017,2017,E06000004,Stockton-on-Tees,30,30,1,Male
1396,2017,2017,E06000004,Stockton-on-Tees,49,49,1,Male
598,2017,2017,E06000004,Stockton-on-Tees,78,78,1,Male
1242,2017,2017,E06000004,Stockton-on-Tees,28,28,2,Female
1299,2017,2017,E06000004,Stockton-on-Tees,34,34,2,Female
837,2017,2017,E06000004,Stockton-on-Tees,73,73,2,Female
591,2017,2017,E06000001,Hartlepool,70,70,1,Male
657,2017,2017,E06000001,Hartlepool,48,48,2,Female
1503,2017,2017,E06000002,Middlesbrough,38,38,0,All
1411,2017,2017,E06000002,Middlesbrough,21,21,1,Male
866,2017,2017,E06000002,Middlesbrough,54,54,1,Male
992,2017,2017,E06000002,Middlesbrough,53,53,2,Female
1490,2017,2017,E06000003,Redcar and Cleveland,2,2,0,All
854,2017,2017,E06000003,Redcar and Cleveland,61,61,1,Male
677,2017,2017,E06000003,Redcar and Cleveland,1,1,2,Female
973,2017,2017,E06000003,Redcar and Cleveland,56,56,2,Female
2493,2017,2017,E06000004,Stockton-on-Tees,24,24,0,All
1047,2017,2017,E06000004,Stockton-on-Tees,41,41,1,Male
1125,2017,2017,E06000004,Stockton-on-Tees,0,0,2,Female
1076,2017,2017,E06000004,Stockton-on-Tees,65,65,2,Female
1056,2017,2017,E06000004,Stockton-on-Tees,67,67,2,Female
656,2017,2017,E06000004,Stockton-on-Tees,79,79,2,Female
467,2017,2017,E06000004,Stockton-on-Tees,85,85,2,Female
1113,2017,2017,E06000001,Hartlepool,61,61,0,All
750,2017,2017,E06000001,Hartlepool,55,55,2,Female
304,2017,2017,E06000001,Hartlepool,76,76,2,Female
1336,2017,2017,E06000002,Middlesbrough,66,66,0,All
586,2017,2017,E06000002,Middlesbrough,83,83,0,All
1126,2017,2017,E06000002,Middlesbrough,19,19,1,Male
258,2017,2017,E06000002,Middlesbrough,90+,90+,1,Male
737,2017,2017,E06000002,Middlesbrough,15,15,2,Female
898,2017,2017,E06000002,Middlesbrough,59,59,2,Female
1385,2017,2017,E06000003,Redcar and Cleveland,14,14,0,All
727,2017,2017,E06000003,Redcar and Cleveland,1,1,1,Male
798,2017,2017,E06000003,Redcar and Cleveland,13,13,1,Male
747,2017,2017,E06000003,Redcar and Cleveland,29,29,1,Male
734,2017,2017,E06000003,Redcar and Cleveland,18,18,2,Female
2172,2017,2017,E06000004,Stockton-on-Tees,39,39,0,All
1042,2017,2017,E06000004,Stockton-on-Tees,67,67,1,Male
419,2017,2017,E06000004,Stockton-on-Tees,90+,90+,1,Male
728,2017,2017,E06000001,Hartlepool,53,53,2,Female
1114,2017,2017,E06000001,Hartlepool,68,68,0,All
235,2017,2017,E06000001,Hartlepool,85,85,2,Female
1659,2017,2017,E06000002,Middlesbrough,17,17,0,All
728,2017,2017,E06000003,Redcar and Cleveland,37,37,1,Male
934,2017,2017,E06000002,Middlesbrough,9,9,1,Male
950,2017,2017,E06000003,Redcar and Cleveland,58,58,1,Male
747,2017,2017,E06000002,Middlesbrough,48,48,1,Male
966,2017,2017,E06000003,Redcar and Cleveland,70,70,1,Male
578,2017,2017,E06000003,Redcar and Cleveland,80,80,2,Female
781,2017,2017,E06000002,Middlesbrough,38,38,2,Female
883,2017,2017,E06000003,Redcar and Cleveland,90+,90+,2,Female
1425,2017,2017,E06000004,Stockton-on-Tees,55,55,1,Male
1529,2017,2017,E06000003,Redcar and Cleveland,3,3,0,All
96793,2017,2017,E06000004,Stockton-on-Tees,total,Total,1,Male
679,2017,2017,E06000003,Redcar and Cleveland,41,41,1,Male
530,2017,2017,E06000003,Redcar and Cleveland,78,78,1,Male
1076,2017,2017,E06000003,Redcar and Cleveland,55,55,2,Female
680,2017,2017,E06000003,Redcar and Cleveland,75,75,2,Female
2434,2017,2017,E06000004,Stockton-on-Tees,2,2,0,All
1242,2017,2017,E06000004,Stockton-on-Tees,18,18,1,Male
1240,2017,2017,E06000004,Stockton-on-Tees,28,28,1,Male
1234,2017,2017,E06000004,Stockton-on-Tees,26,26,2,Female
1214,2017,2017,E06000001,Hartlepool,6,6,0,All
591,2017,2017,E06000001,Hartlepool,7,7,1,Male
577,2017,2017,E06000001,Hartlepool,59,59,1,Male
631,2017,2017,E06000001,Hartlepool,29,29,2,Female
549,2017,2017,E06000001,Hartlepool,65,65,2,Female
819,2017,2017,E06000002,Middlesbrough,16,16,1,Male
1013,2017,2017,E06000002,Middlesbrough,4,4,2,Female
907,2017,2017,E06000002,Middlesbrough,33,33,2,Female
711,2017,2017,E06000003,Redcar and Cleveland,33,33,1,Male
638,2017,2017,E06000003,Redcar and Cleveland,39,39,1,Male
765,2017,2017,E06000003,Redcar and Cleveland,43,43,2,Female
806,2017,2017,E06000004,Stockton-on-Tees,85,85,0,All
196487,2017,2017,E06000004,Stockton-on-Tees,total,Total,0,All
1328,2017,2017,E06000004,Stockton-on-Tees,53,53,1,Male
1357,2017,2017,E06000004,Stockton-on-Tees,45,45,2,Female
1013,2017,2017,E06000001,Hartlepool,63,63,0,All
532,2017,2017,E06000001,Hartlepool,14,14,1,Male
1193,2017,2017,E06000001,Hartlepool,7,7,0,All
1034,2017,2017,E06000001,Hartlepool,14,14,0,All
1457,2017,2017,E06000001,Hartlepool,52,52,0,All
428,2017,2017,E06000001,Hartlepool,40,40,1,Male
550,2017,2017,E06000001,Hartlepool,38,38,2,Female
